Wikidata ID,SNARC ID
Q2696075,Q52835
Q12805306,Q52783
Q1615700,Q52834
Q347929,Q52773
Q203541,Q52826
Q1544163,Q52854
Q817365,Q52837
Q1260681,Q52770
Q1158446,Q52806
Q2550388,Q52851
Q1624734,Q52775
Q1777139,Q52781
Q1614245,Q52813
Q1470501,Q52867
Q1983554,Q52788
Q2200026,Q52794
Q2184526,Q52819
Q16884069,Q52789
Q2703557,Q52848
Q16877153,Q52845
Q4920035,Q52786
Q4894115,Q52825
Q5265065,Q52798
Q5314703,Q52817
Q5189265,Q52860
Q6833447,Q52772
Q6951606,Q52824
Q7161340,Q52805
Q7366409,Q52831
Q29627647,Q52774
Q10856697,Q52803
Q10854295,Q52863
Q12799535,Q52816
Q12800811,Q52829
Q13560595,Q52776
Q15080511,Q52809
Q15378936,Q52853
Q16479695,Q52780
Q16665183,Q52769
Q16865288,Q52771
Q16871486,Q52777
Q16865501,Q52791
Q16844138,Q52795
Q16870718,Q52797
Q16870120,Q52799
Q16870902,Q52800
Q16479523,Q52862
Q16876476,Q52796
Q16870943,Q52811
Q16860404,Q52815
Q16876475,Q52820
Q16929541,Q52814
Q16860475,Q52839
Q16870944,Q52836
Q17126171,Q52812
Q16876104,Q52850
Q16870608,Q52868
Q16881297,Q52857
Q18808411,Q52808
Q21508546,Q52785
Q21492537,Q52801
Q21502179,Q52804
Q21506801,Q52827
Q21510646,Q52828
Q21488941,Q52832
Q21492441,Q52830
Q21448873,Q52856
Q22809469,Q52858
Q23041619,Q52847
Q24530160,Q52833
Q26905923,Q52790
Q27892715,Q52822
Q28215908,Q52807
Q28123273,Q52864
Q28153223,Q52861
Q28873453,Q52840
Q30669512,Q52784
Q30315490,Q52859
Q37487695,Q52779
Q37528263,Q52782
Q37186810,Q52844
Q37209438,Q52842
Q37549520,Q52792
Q37572858,Q52810
Q37474756,Q52821
Q37535307,Q52818
Q56243986,Q52841
Q59913555,Q52865
Q60782590,Q52787
Q62727949,Q52846
Q63174814,Q52855
Q66458756,Q52802
Q67176092,Q52843
Q71374647,Q52793
Q77670369,Q52823
Q95742932,Q52866
Q99579459,Q52852
Q105973989,Q52849
Q107393959,Q52838
Q59853,Q52778
Q1158452,Q52895
Q233193,Q52923
Q694764,Q52939
Q1260558,Q52869
Q1444548,Q52878
Q1794217,Q52882
Q1258367,Q52936
Q1260128,Q52938
Q1158195,Q52956
Q1605060,Q52904
Q1261064,Q52959
Q1713171,Q52910
Q1526023,Q52948
Q1762298,Q52914
Q2071244,Q52888
Q2539239,Q52876
