Wikidata ID,SNARC ID
Q734578,Q55678
Q18002399,Q55733
Q677191,Q55677
Q401836,Q55652
Q499249,Q55667
Q278835,Q55671
Q238771,Q55680
Q1158477,Q55651
Q743332,Q55683
Q240931,Q55702
Q294833,Q55694
Q629347,Q55708
Q793802,Q55653
Q595105,Q55676
Q1249148,Q55661
Q471788,Q55743
Q1441346,Q55649
Q340285,Q55740
Q770041,Q55719
Q839387,Q55711
Q1261347,Q55715
Q948418,Q55729
Q1249281,Q55689
Q1166840,Q55720
Q1158596,Q55730
Q1158570,Q55731
Q1440778,Q55688
Q1514341,Q55684
Q1225705,Q55745
Q1778168,Q55660
Q2061957,Q55693
Q1557859,Q55707
Q1781876,Q55709
Q2532287,Q55656
Q1811874,Q55728
Q1985538,Q55735
Q2018484,Q55737
Q2958359,Q55686
Q2093070,Q55739
Q2584852,Q55673
Q2492643,Q55704
Q2660560,Q55698
Q2897866,Q55668
Q2616573,Q55738
Q2624417,Q55747
Q3273004,Q55659
Q3960161,Q55645
Q3503692,Q55699
Q3480335,Q55713
Q4925477,Q55666
Q4926833,Q55665
Q23034404,Q55664
Q4927100,Q55696
Q4926472,Q55749
Q4927231,Q55662
Q4927937,Q55687
Q4927128,Q55744
Q5556418,Q55690
Q5486169,Q55722
Q5837762,Q55726
Q7626248,Q55658
Q9022830,Q55716
Q11027623,Q55732
Q11122389,Q55724
Q11687769,Q55700
Q12344159,Q55654
Q12241622,Q55697
Q12900572,Q55725
Q13376892,Q55706
Q14647205,Q55685
Q15731759,Q55679
Q15921732,Q55701
Q15628901,Q55675
Q16428906,Q55648
Q15728996,Q55736
Q15730712,Q55741
Q15731830,Q55746
Q15875484,Q55734
Q16422172,Q55714
Q17609880,Q55655
Q16766247,Q55705
Q18057751,Q55717
Q18042461,Q55691
Q18421743,Q55646
Q18014868,Q55712
Q18029644,Q55727
Q18180401,Q55742
Q18924871,Q55748
Q19688398,Q55674
Q19914643,Q55670
Q20019124,Q55663
Q20025095,Q55695
Q21285963,Q55692
Q25999604,Q55703
Q56872044,Q55672
Q51313058,Q55710
Q51642493,Q55682
Q51753038,Q55718
Q55375963,Q55657
Q923,Q55650
Q808995,Q55766
Q153957,Q55795
Q11057790,Q55778
Q607350,Q55756
Q783677,Q55822
Q463035,Q55757
Q261113,Q55808
Q827311,Q55775
Q503607,Q55755
Q385468,Q55792
Q1058731,Q55787
Q338015,Q55810
Q347181,Q55821
Q816407,Q55762
Q495635,Q55825
Q913073,Q55768
Q605821,Q55846
Q1675463,Q55771
Q1084472,Q55789
Q1142232,Q55785
Q1242555,Q55770
Q988818,Q55827
Q2102316,Q55764
Q1655354,Q55758
Q1300961,Q55820
Q2110096,Q55779
Q1554377,Q55805
Q1820345,Q55774
Q1587821,Q55814
Q1920728,Q55777
Q2438057,Q55791
Q2268455,Q55843
Q2648973,Q55802
Q2825532,Q55809
Q21079773,Q55847
Q4925623,Q55782
Q4927524,Q55797
Q5160736,Q55761
Q5401576,Q55750
Q6584302,Q55760
Q6298851,Q55767
Q7029481,Q55752
Q7521081,Q55773
Q8471184,Q55759
Q22915127,Q55807
Q8843357,Q55798
Q12173670,Q55753
Q11682369,Q55830
Q12795965,Q55794
Q13137230,Q55754
Q13872259,Q55765
Q13480879,Q55776
Q13728754,Q55793
Q22815741,Q55803
Q14516546,Q55812
Q14626626,Q55772
Q16282224,Q55769
Q15720844,Q55763
Q15627437,Q55783
Q15727982,Q55780
Q15728103,Q55781
Q15728056,Q55835
Q16002809,Q55824
Q16542374,Q55816
Q16275883,Q55841
Q17523984,Q55751
Q17765515,Q55815
Q18012535,Q55784
Q18002623,Q55831
Q17997608,Q55819
Q18145837,Q55804
Q18188067,Q55811
Q18171804,Q55813
Q18180121,Q55828
Q18190931,Q55839
Q18402678,Q55833
Q18402116,Q55844
Q19871517,Q55817
Q19767773,Q55799
Q19883481,Q55786
Q19968396,Q55796
Q21129928,Q55801
Q21018632,Q55790
Q21296592,Q55788
Q21034720,Q55832
Q22969623,Q55800
Q34907056,Q55806
Q34997882,Q55818
Q46583058,Q55845
Q51952585,Q55834
Q54820073,Q55842
Q54877573,Q55826
Q58213257,Q55823
Q62027792,Q55836
Q92047411,Q55849
Q93772109,Q55848
Q98605416,Q55837
Q100293049,Q55829
Q111048176,Q55840
Q111666689,Q55838
Q950780,Q56111
Q2782533,Q56078
Q370731,Q56097
Q1329662,Q56054
Q746548,Q56075
Q364753,Q56121
Q541194,Q56108
Q566893,Q56113
Q1068242,Q56062
Q1068487,Q56090
Q378867,Q56150
Q1158906,Q56073
Q1158139,Q56083
Q1248107,Q56086
Q746076,Q56140
Q632104,Q56147
Q848549,Q56130
Q1423817,Q56088
Q1454272,Q56059
Q989320,Q56122
Q1524558,Q56081
Q1076652,Q56120
Q1083457,Q56126
Q2275863,Q56064
Q987673,Q56148
Q1165126,Q56132
Q1413630,Q56135
Q1984713,Q56079
Q1637225,Q56149
Q1632858,Q56115
Q2131007,Q56072
Q2190619,Q56101
Q2253934,Q56074
Q2007923,Q56129
Q2589157,Q56076
Q2087646,Q56131
Q2737173,Q56104
Q3679146,Q56084
Q3354498,Q56051
Q3541269,Q56142
Q3284319,Q56144
Q4564223,Q56118
Q4851022,Q56133
Q4925932,Q56145
Q7675950,Q56058
Q10495329,Q56096
Q10861063,Q56071
Q12788459,Q56128
Q13422280,Q56106
Q13610143,Q56107
Q14159020,Q56087
Q14038597,Q56124
Q15654302,Q56085
Q15787799,Q56082
Q15885954,Q56066
Q16001784,Q56098
Q15620295,Q56138
Q16282621,Q56057
Q16290674,Q56070
Q16275698,Q56093
Q16424000,Q56123
Q17539144,Q56100
Q18190932,Q56080
Q18402571,Q56077
Q18190448,Q56099
Q18171856,Q56136
Q18978422,Q56141
Q19688756,Q56063
Q19688685,Q56091
Q19967799,Q56116
Q19803523,Q56068
Q19803507,Q56095
Q19872213,Q56060
Q19873223,Q56061
Q19888028,Q56053
