Wikidata ID,SNARC ID
Q5,Q947
Q515,Q1367
Q9842,Q39
Q12280,Q9746
Q3918,Q61
Q2977,Q9756
Q1501,Q10512
Q10145,Q10272
Q12284,Q9750
Q12731,Q9819
Q12323,Q9858
Q12511,Q10352
Q12518,Q10365
Q13136,Q74527
Q11707,Q10329
Q11315,Q10345
Q11303,Q10347
Q11446,Q10461
Q10884,Q10504
Q15324,Q9711
Q12277,Q106038
Q12570,Q106041
Q12743,Q106045
Q14350,Q9958
Q15284,Q44963
Q16560,Q9707
Q16917,Q9894
Q16970,Q9762
Q42948,Q10376
Q44782,Q9891
Q44494,Q10274
Q44613,Q10277
Q44377,Q10366
Q43483,Q10430
Q43229,Q10298
Q48264,Q13
Q46169,Q8580
Q46831,Q8607
Q43501,Q106058
Q43229,Q133578
Q22687,Q9730
Q47053,Q9868
Q46966,Q97481
Q47521,Q106034
Q3914,Q62
Q22733,Q9883
Q22746,Q10172
Q22652,Q10295
Q22698,Q10301
Q22715,Q10374
Q22731,Q117599
Q54050,Q9810
Q49844,Q10139
Q48349,Q97485
Q48204,Q133581
Q23442,Q8579
Q22806,Q133631
Q23413,Q9755
Q3957,Q8587
Q23397,Q10253
Q25391,Q10339
Q24354,Q10361
Q27686,Q9896
Q28337,Q106040
Q27590,Q106061
Q3947,Q9793
Q28575,Q8606
Q30022,Q9770
Q31615,Q10056
Q31566,Q10178
Q31855,Q10328
Q34023,Q9936
Q33685,Q10200
Q32815,Q10279
Q33506,Q10284
Q29925,Q106051
Q30198,Q106050
Q28653,Q133682
Q53060,Q9885
Q56061,Q1120
Q34770,Q949
Q34038,Q10381
Q33837,Q50057
Q532,Q8586
Q35509,Q9757
Q35054,Q9781
Q34763,Q10303
Q34442,Q10332
Q55488,Q8583
Q41176,Q8576
Q34627,Q10359
Q38720,Q10384
Q35127,Q74529
Q38723,Q133661
Q4421,Q9878
Q55485,Q10017
Q55677,Q10037
Q55484,Q10062
Q58663,Q10076
Q55678,Q10148
Q59772,Q10260
Q4022,Q10331
Q77115,Q9773
Q79007,Q10355
Q62447,Q10251
Q62832,Q10292
Q57821,Q10452
Q58917,Q106096
Q5119,Q1366
Q3950,Q10356
Q79913,Q133609
Q5084,Q8588
Q82794,Q8574
Q93352,Q9769
Q83405,Q9870
Q88205,Q9880
Q92062,Q9914
Q82117,Q10005
Q80793,Q10358
Q92086,Q9935
Q102496,Q8582
Q91312,Q9993
Q92069,Q10126
Q89477,Q10177
Q87167,Q10263
Q88480,Q10276
Q91759,Q106081
Q92383,Q106143
Q91285,Q117621
Q5292,Q74531
Q6256,Q948
Q5107,Q75919
Q4539,Q133639
Q474,Q9723
Q358,Q10248
Q571,Q75636
Q7075,Q10255
Q39816,Q8585
Q40357,Q9709
Q101659,Q9861
Q105731,Q10261
Q101352,Q52666
Q159334,Q41
Q157570,Q9855
Q153562,Q10064
Q153938,Q10101
Q152081,Q10408
Q155271,Q133709
Q157031,Q133703
Q39594,Q9734
Q40080,Q9735
Q8502,Q10281
Q8425,Q10348
Q8436,Q51238
Q39614,Q9758
Q40558,Q9879
Q39715,Q10259
Q41253,Q10283
Q41298,Q74534
Q166118,Q9726
Q163740,Q9778
Q159719,Q9865
Q162875,Q10266
Q164240,Q10268
Q160742,Q10410
Q165044,Q106046
Q162157,Q133729
Q188509,Q8584
Q171809,Q9591
Q167346,Q9742
Q170477,Q10071
Q170980,Q10291
Q170321,Q10513
Q166735,Q106057
Q170584,Q131810
Q8513,Q74528
Q178561,Q9733
Q173387,Q9784
Q174945,Q9841
Q171448,Q10323
Q7278,Q133579
Q8072,Q134687
Q187223,Q10252
Q188040,Q10319
Q174814,Q10122
Q174782,Q10305
Q179049,Q10288
Q175185,Q10337
Q188913,Q10469
Q185600,Q10309
Q188869,Q106075
Q177749,Q10346
Q178692,Q10507
Q177305,Q117631
Q176799,Q133601
Q181485,Q9737
Q180174,Q9876
Q182060,Q10294
Q179700,Q10353
Q181348,Q10373
Q189004,Q9837
Q191992,Q9834
Q194195,Q9722
Q192611,Q9864
Q193475,Q10270
Q190928,Q10344
Q189771,Q10372
Q191067,Q74532
Q190752,Q133662
Q184644,Q42
Q184368,Q9704
Q185113,Q9752
Q181623,Q10377
Q180958,Q74526
Q233324,Q40
Q221722,Q9856
Q229788,Q9947
Q256020,Q10009
Q236371,Q10297
Q245016,Q10273
Q223209,Q10367
Q249556,Q10321
Q253275,Q106131
Q245065,Q133612
Q225446,Q133716
Q232846,Q133712
Q184698,Q10129
Q185187,Q10378
Q184358,Q106053
Q182886,Q106064
Q200334,Q9736
Q198632,Q9745
Q200764,Q9740
Q203895,Q10182
Q194029,Q10333
Q203443,Q10511
Q202444,Q52668
Q194356,Q106060
Q193071,Q106104
Q192283,Q133576
Q269770,Q43
Q256132,Q10360
Q271669,Q8575
Q272231,Q9724
Q274153,Q10379
Q277760,Q10400
Q270791,Q133705
Q285759,Q68
Q309250,Q9780
Q327333,Q9719
Q285562,Q9955
Q335297,Q9771
Q283202,Q10035
Q317557,Q9904
Q330284,Q10264
Q321053,Q10409
Q309481,Q75891
Q331211,Q106056
Q350723,Q9821
Q381885,Q9706
Q358316,Q9807
Q367885,Q9785
Q353027,Q9954
Q355304,Q10019
Q339353,Q10316
Q336532,Q106035
Q361945,Q106059
Q373609,Q106115
Q373661,Q106134
Q336473,Q133728
Q486972,Q1368
Q448030,Q9796
Q466544,Q10001
Q446013,Q10318
Q472577,Q10221
Q468939,Q10389
Q483110,Q10351
Q473972,Q10406
Q476028,Q106055
Q449067,Q133673
Q464780,Q133649
Q476068,Q133696
Q383092,Q9840
Q392371,Q9946
Q380342,Q10142
Q375336,Q10282
Q378445,Q10320
Q385557,Q106054
Q380829,Q133628
Q423208,Q44
Q422211,Q9787
Q396108,Q133622
Q107198,Q532
Q108325,Q9760
Q494230,Q45
Q493694,Q9712
Q494829,Q9747
Q483453,Q9882
Q483242,Q10508
Q484652,Q133663
Q420962,Q9846
Q489357,Q9872
Q427926,Q10030
Q417175,Q10506
Q431603,Q133582
Q406633,Q133690
Q427287,Q133647
Q207326,Q9809
Q511355,Q9803
Q503958,Q10075
Q504106,Q10116
Q517820,Q10086
Q505213,Q10340
Q519608,Q106094
Q537127,Q106033
Q557206,Q46
Q569500,Q9774
Q554394,Q9981
Q555937,Q9972
Q546113,Q133614
Q570116,Q9918
Q570600,Q10128
Q575759,Q10349
Q585490,Q9939
Q589282,Q10021
Q581776,Q117629
Q497893,Q133621
Q627006,Q47
Q623605,Q9795
Q618123,Q9926
Q607241,Q10302
Q699405,Q9863
Q695850,Q10165
Q702492,Q10185
Q661513,Q48
Q630638,Q8590
Q683738,Q8599
Q667276,Q9727
Q637776,Q9857
Q655686,Q9772
Q659396,Q9867
Q628155,Q10096
Q647704,Q10031
Q634961,Q10123
Q631305,Q10154
Q622425,Q10220
Q654772,Q10130
Q657100,Q10137
Q618779,Q10330
Q681337,Q10083
Q685204,Q10068
Q621114,Q10392
Q624114,Q10405
Q656720,Q10385
Q670265,Q131817
Q672070,Q133632
Q708676,Q9761
Q693369,Q10243
Q697295,Q106080
Q701632,Q133665
Q682943,Q10217
Q718966,Q9998
Q712868,Q10066
Q811979,Q9783
Q798436,Q10135
Q785745,Q106089
Q209465,Q9715
Q212198,Q9800
Q207320,Q133598
Q207694,Q133678
Q738570,Q9759
Q740752,Q9753
Q740326,Q9912
Q744099,Q9934
Q728937,Q10015
Q726870,Q10207
Q736917,Q10388
Q740445,Q10025
Q751876,Q10234
Q742421,Q133635
Q775129,Q10067
Q763590,Q106137
Q759534,Q117628
Q748019,Q133608
Q748822,Q133624
Q783794,Q57300
Q784159,Q106086
Q781132,Q133694
Q813966,Q9732
Q804292,Q9976
Q805353,Q10012
Q811177,Q10088
Q811534,Q10194
Q921099,Q9743
Q918088,Q10315
Q918230,Q106071
Q939644,Q10404
Q941501,Q106013
Q830528,Q10050
Q820477,Q10275
Q831515,Q10258
Q828909,Q10383
Q819426,Q106122
Q959309,Q9799
Q948878,Q10003
Q952443,Q10051
Q952885,Q10296
Q944588,Q106078
Q939871,Q133577
Q839954,Q9713
Q829080,Q133626
Q114768,Q9888
Q106259,Q10306
Q109607,Q10336
Q107679,Q10390
Q107390,Q44964
Q967098,Q9844
Q961082,Q10402
Q955824,Q133575
Q123705,Q8581
Q838858,Q9764
Q847950,Q9862
Q837142,Q10262
Q840482,Q10265
Q846659,Q10399
Q847017,Q10479
Q852190,Q117598
