Wikidata ID,SNARC ID
Q1088025,Q106005
Q8202951,Q106006
Q948909,Q146582
Q8821,Q106007
Q33111,Q106003
Q35505,Q105956
Q8785,Q105934
Q25285,Q106009
Q34147,Q106010
Q33868,Q146583
Q32238,Q163912
Q256,Q1020
Q294,Q1021
Q397,Q1022
Q652,Q1023
Q809,Q1024
Q1321,Q1025
Q1412,Q1026
Q1571,Q1027
Q1568,Q1028
Q1617,Q1029
Q1860,Q1030
Q4627,Q1031
Q5111,Q1032
Q5146,Q1033
Q5218,Q1034
Q5287,Q1035
Q5885,Q1036
Q7026,Q1037
Q7411,Q1038
Q7737,Q1039
Q7838,Q1040
Q7913,Q1041
Q7918,Q1042
Q7930,Q1043
Q8097,Q1044
Q8108,Q1045
Q8641,Q1046
Q8748,Q1047
Q8798,Q1048
Q9027,Q1049
Q9035,Q1050
Q9043,Q1051
Q9051,Q1052
Q9058,Q1053
Q9056,Q1054
Q9063,Q1055
Q9067,Q1056
Q9072,Q1057
Q9078,Q1058
Q9083,Q1059
Q9091,Q1060
Q9142,Q1061
Q9166,Q1062
Q9168,Q1063
Q9176,Q1064
Q9199,Q1065
Q9217,Q1066
Q9228,Q1067
Q9237,Q1068
Q9240,Q1069
Q9246,Q1070
Q9260,Q1071
Q9267,Q1072
Q9288,Q1073
Q9292,Q1074
Q9296,Q1075
Q9301,Q1076
Q9307,Q1077
Q9309,Q1078
Q9314,Q1079
Q9610,Q1080
Q10179,Q1081
Q11059,Q1082
Q33875,Q992
Q33947,Q993
Q12107,Q1083
Q33954,Q994
Q33968,Q995
Q33997,Q996
Q34004,Q997
Q34014,Q998
Q34057,Q999
Q13199,Q1084
Q13218,Q1085
Q13263,Q1086
Q34124,Q1000
Q34128,Q1001
Q34137,Q1002
Q13267,Q1087
Q13275,Q1088
Q13307,Q1089
Q34219,Q1003
Q34257,Q1004
Q34271,Q1005
Q13310,Q1090
Q34311,Q1006
Q34327,Q1007
Q14185,Q1091
Q35613,Q1008
Q35876,Q1009
Q36157,Q1010
Q36217,Q1011
Q36236,Q1012
Q36368,Q1013
Q36510,Q1014
Q36727,Q1015
Q36785,Q1016
Q36850,Q1017
Q56475,Q1018
Q58680,Q1019
Q306626,Q105969
Q402878,Q105986
Q406373,Q105997
Q454476,Q105998
Q499083,Q105987
Q505674,Q105988
Q665624,Q106000
Q107358,Q105952
Q727694,Q105999
Q750553,Q106008
Q837169,Q105993
Q837985,Q105950
Q1163234,Q105970
Q1248800,Q105976
Q1450506,Q106001
Q1472196,Q105944
Q1473289,Q105949
Q1654327,Q105990
Q131339,Q105991
Q1982248,Q105981
Q387066,Q105979
Q535958,Q105960
Q2266723,Q105965
Q946997,Q105974
Q2779185,Q105959
Q3558112,Q105989
Q1990745,Q105996
Q2044917,Q106002
Q5364419,Q105985
Q5518598,Q105982
Q7033959,Q106012
Q7462260,Q105983
Q15478520,Q105971
Q14196,Q1092
Q25258,Q1093
Q25289,Q1094
Q27183,Q1095
Q27811,Q1096
Q28244,Q1097
Q29401,Q1098
Q29561,Q1099
Q29572,Q1100
Q29921,Q1101
Q32704,Q1102
Q150,Q1103
Q188,Q1104
Q33273,Q1105
Q33315,Q1106
Q33390,Q1107
Q33454,Q1108
Q33491,Q1109
Q33552,Q1110
Q33573,Q1111
Q33578,Q1112
Q33583,Q1113
Q33587,Q1114
Q33617,Q1115
Q33673,Q1116
Q33702,Q1117
Q33823,Q1118
Q33864,Q1119
Q7979,Q105973
Q9192,Q105955
Q13955,Q105967
Q7976,Q105946
Q9129,Q105968
Q34290,Q105975
Q35225,Q105957
Q32724,Q105978
Q35222,Q105948
Q35308,Q105954
Q33527,Q105953
Q33538,Q105964
Q36395,Q105943
Q44679,Q105945
Q35228,Q106004
Q37041,Q105992
Q42365,Q105932
Q36730,Q106011
Q35497,Q105951
Q13201,Q105962
Q25448,Q105937
Q50868,Q105941
Q56756,Q105938
Q143,Q105947
Q8752,Q105936
Q12175,Q105972
Q35470,Q105942
Q33000,Q105977
Q14549,Q105963
Q35214,Q105980
Q35466,Q105984
Q5137,Q105994
Q9303,Q105929
Q13300,Q105935
Q56383,Q105966
Q56437,Q105931
Q6654,Q105930
Q58635,Q105958
Q56944,Q105995
