Wikidata ID,SNARC ID
Q157195,Q166
Q105186,Q175
Q264323,Q165
Q158852,Q190
Q553079,Q172
Q350979,Q203
Q80687,Q237
Q842811,Q171
Q578109,Q201
Q723682,Q188
Q118865,Q260
Q278919,Q235
Q182436,Q246
Q845929,Q180
Q486748,Q220
Q211346,Q255
Q212238,Q256
Q806349,Q191
Q385586,Q234
Q730242,Q202
Q329455,Q257
Q327029,Q261
Q957729,Q197
Q628099,Q231
Q765778,Q221
Q1076502,Q192
Q663272,Q236
Q901222,Q214
Q832136,Q222
Q674426,Q240
Q635734,Q247
Q600751,Q252
Q1423426,Q168
Q1340643,Q179
,
Q849424,Q232
Q806717,Q238
Q1056391,Q225
Q912310,Q244
Q1139055,Q223
Q978044,Q242
Q1483433,Q195
Q1144892,Q230
Q1258027,Q224
Q1735282,Q186
Q1518641,Q211
Q1259917,Q243
Q1208175,Q250
Q1650915,Q216
Q1339677,Q251
Q2312637,Q187
Q2576499,Q176
Q1930187,Q258
Q2534525,Q194
Q2732142,Q199
Q2306431,Q245
Q22122536,Q161806
Q3486937,Q177
Q3387717,Q189
Q3029404,Q226
Q3745071,Q208
Q3882136,Q196
Q5280538,Q193
Q4991371,Q233
Q5371902,Q219
Q5482740,Q209
Q6542448,Q205
Q6542711,Q206
Q7330070,Q183
Q8125919,Q181
Q7453413,Q253
Q9379869,Q198
Q10429346,Q217
Q11848548,Q169
Q16145150,Q167
Q15839134,Q204
Q15977927,Q228
Q15978655,Q239
Q17763739,Q184
Q17303149,Q263
Q19280221,Q173
Q22132694,Q227
Q28001428,Q248
Q33109310,Q207
Q58209937,Q218
Q63970319,Q262
Q66622393,Q241
Q67529900,Q170
Q88110348,Q164
Q99193996,Q212
Q101444631,Q229
Q106663866,Q215
Q108353503,Q259
Q27349,Q174
Q39631,Q178
Q30461,Q182
Q14212,Q185
Q30185,Q200
Q37349,Q210
Q37226,Q213
Q41583,Q249
Q42178,Q254
Q132050,Q69
Q107711,Q74
Q159964,Q70
Q187031,Q75
Q285759,Q68
Q254508,Q76
,
Q215548,Q81
Q186370,Q84
Q215144,Q89
Q255274,Q95
Q215536,Q100
Q185992,Q104
Q474306,Q79
Q179637,Q115
Q652122,Q71
Q506126,Q91
Q502323,Q92
Q288728,Q120
Q381136,Q112
Q270389,Q128
Q480298,Q107
Q618532,Q98
Q855159,Q78
Q207978,Q144
Q713540,Q93
Q175240,Q150
Q102083,Q157
Q184951,Q151
Q377117,Q132
Q833418,Q88
Q329737,Q140
Q885444,Q83
Q294126,Q143
Q841192,Q90
Q156839,Q160
Q890527,Q87
Q154549,Q162
Q694019,Q109
Q774306,Q105
Q242468,Q161
Q1186844,Q67
Q725434,Q118
Q1122364,Q77
,
Q448553,Q147
Q328325,Q163
Q1147709,Q86
Q967299,Q113
Q762707,Q133
Q928402,Q119
,
Q937283,Q116
Q838811,Q131
Q1196083,Q94
Q861009,Q134
Q1416611,Q80
Q1326886,Q102
Q863048,Q154
Q842606,Q158
Q1639825,Q82
Q1124183,Q141
Q1203797,Q138
Q1214796,Q139
Q1362384,Q148
Q1781198,Q106
Q1771040,Q142
Q2159907,Q101
Q1863064,Q135
Q2478141,Q97
Q3043121,Q64
Q2747456,Q155
Q2963953,Q149
Q3398872,Q108
Q3400050,Q136
Q4358120,Q65
Q4848450,Q111
Q4887411,Q114
Q5086848,Q124
Q5287521,Q103
Q4990607,Q137
Q10076267,Q99
,
Q12014035,Q72
Q12014035,Q73
Q12059906,Q130
Q12409870,Q125
Q12773225,Q96
Q14009165,Q117
Q16003594,Q122
Q816871,Q66
Q28528560,Q123
Q34074720,Q121
Q55296227,Q129
Q84312746,Q126
Q104758896,Q85
Q106512920,Q110
Q106807399,Q159
Q112795491,Q146
Q113158600,Q145
Q43292,Q127
Q116,Q152
Q61982,Q153
Q37110,Q156
Q81096,Q269
Q169180,Q278
Q174493,Q295
Q208233,Q296
Q189290,Q298
Q131062,Q308
Q708492,Q265
Q578478,Q274
Q594819,Q276
Q205375,Q311
Q138858,Q320
Q316490,Q304
Q327591,Q303
Q126236,Q326
Q408832,Q299
,
Q151092,Q343
Q500251,Q316
Q639669,Q305
Q749387,Q300
Q386854,Q335
Q217105,Q356
Q935666,Q294
,
Q674067,Q321
Q918824,Q297
Q911554,Q317
Q914223,Q319
Q483501,Q362
Q1388151,Q280
Q482980,Q363
Q834316,Q337
Q1501926,Q272
Q1414443,Q291
Q763779,Q361
Q1114448,Q340
Q1837906,Q281
Q1607826,Q309
Q1996375,Q275
Q2380299,Q266
Q1665188,Q329
Q1818899,Q327
Q1616828,Q359
Q1792450,Q353
Q2707485,Q290
Q2045208,Q360
Q2662892,Q306
Q2962070,Q288
Q2301743,Q358
Q2303143,Q357
Q2488257,Q341
Q2350126,Q355
Q3055126,Q287
Q2917466,Q342
Q3470892,Q338
Q4070283,Q301
Q4220892,Q289
Q4175034,Q312
Q4305267,Q302
Q4270517,Q349
Q4676869,Q354
,
Q5716684,Q322
Q5947973,Q310
Q7019111,Q270
Q7234365,Q271
Q7643464,Q282
Q7892548,Q279
Q9149093,Q350
Q10949665,Q268
Q10800557,Q292
Q10843402,Q351
Q11395024,Q332
Q12764792,Q286
Q12713481,Q315
Q12803959,Q347
Q13424456,Q331
Q13381863,Q348
Q16023925,Q323
Q19691902,Q328
Q60461894,Q284
Q63755054,Q318
Q96034777,Q352
Q96952661,Q283
Q97468869,Q333
Q99588331,Q264
Q101444601,Q273
Q101579667,Q334
Q101571553,Q345
Q101571189,Q346
Q106412808,Q344
Q106512734,Q336
Q107267423,Q325
Q108605557,Q313
Q110779750,Q285
Q110853168,Q339
Q111811692,Q330
Q901,Q267
Q18805,Q277
Q28389,Q293
Q42973,Q307
Q1487,Q314
Q33999,Q324
Q177220,Q376
Q376924,Q393
Q131512,Q424
Q627754,Q382
Q212948,Q435
Q221488,Q438
Q322170,Q428
Q484188,Q414
Q850220,Q383
Q745570,Q395
Q625369,Q412
Q1113899,Q371
Q559597,Q432
Q497294,Q440
Q508230,Q439
Q931260,Q396
Q1254525,Q384
Q703534,Q441
Q864380,Q423
Q1413522,Q369
Q877944,Q443
Q806798,Q455
Q1454125,Q390
Q936969,Q461
Q1281618,Q426
Q1690874,Q388
Q1191714,Q442
Q2017602,Q370
Q2034021,Q372
Q1476215,Q429
Q1475726,Q436
Q1734662,Q411
Q2252262,Q377
Q1660363,Q456
Q2627286,Q373
Q2540793,Q417
Q3362826,Q389
Q3501317,Q401
Q3242115,Q430
Q3578589,Q409
Q4964182,Q365
Q7939609,Q378
Q11075015,Q397
Q10732476,Q437
Q11513337,Q385
Q11509146,Q447
Q11900058,Q425
Q12358881,Q418
Q12773412,Q404
Q13382576,Q386
Q13105405,Q462
Q14467526,Q391
Q15077007,Q364
Q14886050,Q398
Q15627169,Q366
Q16004471,Q387
Q15883433,Q415
Q15991187,Q406
Q16611574,Q367
Q17505902,Q420
Q18340078,Q368
Q18120029,Q445
Q18245166,Q463
Q18534714,Q433
Q20650523,Q374
Q21141381,Q434
Q21600439,Q421
Q21263917,Q458
Q22808152,Q399
Q22976182,Q413
Q24702769,Q444
Q25553823,Q407
Q32518759,Q419
Q47319622,Q408
,
Q52558144,Q400
Q55983771,Q416
Q84380764,Q375
Q98834046,Q402
Q101570375,Q379
Q101572682,Q380
Q101579051,Q381
Q101510460,Q422
Q101444394,Q448
Q101444477,Q449
,
Q101444561,Q450
Q101539434,Q451
Q101539571,Q452
Q101540053,Q453
Q101540106,Q454
Q105899379,Q405
Q105467331,Q459
Q105492608,Q460
Q106399618,Q431
Q108404711,Q403
Q108614246,Q446
Q111585724,Q427
Q114778852,Q392
Q46961,Q394
Q26102,Q410
Q49640,Q457
Q82955,Q465
Q130857,Q485
Q170790,Q489
Q214917,Q492
Q152355,Q516
Q107198,Q532
Q695521,Q475
Q331432,Q533
Q778274,Q484
Q694116,Q508
Q956365,Q482
Q762121,Q501
Q544972,Q527
Q1028181,Q479
Q429500,Q547
Q898031,Q510
Q654776,Q551
Q848466,Q534
Q852857,Q537
Q733786,Q552
Q697405,Q554
Q1261521,Q507
Q1728568,Q474
Q1780030,Q483
Q1225716,Q546
Q1067977,Q556
Q1631120,Q504
Q1537445,Q535
Q1643514,Q561
Q2066131,Q536
Q2600526,Q493
Q2518689,Q514
Q2860259,Q503
Q2873500,Q513
Q2722764,Q549
Q3074722,Q519
Q3621491,Q518
Q4351403,Q467
Q7070203,Q494
Q8246794,Q550
Q10349745,Q480
Q10384029,Q517
Q10729326,Q511
Q12362622,Q512
Q12310971,Q520
Q12377274,Q528
Q12800682,Q521
Q12902372,Q522
Q13418253,Q558
Q15472169,Q464
Q14915627,Q560
Q15981151,Q486
Q16003954,Q523
Q16156383,Q529
Q15995642,Q555
Q16271261,Q562
Q17484288,Q557
Q19397650,Q466
Q19829994,Q538
Q20850090,Q468
Q21169216,Q491
Q21084228,Q509
Q21550382,Q524
Q21491495,Q563
Q24574678,Q530
Q25616474,Q469
Q25829748,Q539
Q30906402,Q553
Q41311803,Q506
Q42303786,Q487
Q44508716,Q505
Q51679083,Q470
Q57199189,Q502
Q60102223,Q495
Q64213888,Q515
Q66035178,Q548
Q66763670,Q488
Q91478678,Q525
Q97572814,Q471
Q101540148,Q477
Q101540521,Q478
Q101547254,Q526
Q101567652,Q531
Q101445630,Q540
Q103600172,Q472
Q104080080,Q544
Q105467299,Q545
Q108161452,Q541
Q108165883,Q542
Q110974141,Q490
Q110996210,Q496
Q111811680,Q497
Q111811568,Q543
Q112282453,Q498
Q112240529,Q559
Q114080955,Q476
Q114784730,Q499
Q114784736,Q500
Q115246813,Q473
Q36834,Q481
Q696819,Q50767
Q3140857,Q50772
Q3400985,Q50773
Q6731168,Q50774
Q12049274,Q50775
Q15296811,Q50776
Q25393460,Q50777
Q27214348,Q50778
Q497240,Q57250
Q4164871,Q57304
Q188958,Q57254
Q139627,Q57267
Q215627,Q57299
Q134737,Q57346
Q214092,Q57347
Q618536,Q57297
Q953355,Q57251
Q392651,Q57355
Q650241,Q57301
Q611644,Q57335
Q783794,Q57300
Q874405,Q57302
Q1225491,Q57253
Q718768,Q57351
Q1077064,Q57303
Q1053745,Q57334
Q1440873,Q57266
Q1476208,Q57268
Q1251441,Q57305
Q1661231,Q57265
Q1331793,Q57344
Q1416431,Q57345
Q2047357,Q57252
Q1888937,Q57339
Q3778211,Q57342
Q4381978,Q57270
Q5000587,Q57269
Q5691184,Q57272
Q6073032,Q57274
Q6484023,Q57257
Q55070649,Q50780
Q7432361,Q57275
Q7695510,Q57273
Q9394993,Q57340
Q58371759,Q50790
Q58428578,Q50779
Q10264581,Q57271
Q11202952,Q57256
Q11499929,Q57277
Q11287574,Q57341
Q12003277,Q57258
Q12307965,Q57276
Q13015400,Q57349
Q15980804,Q57296
Q16004492,Q57353
Q16520117,Q57259
Q16997621,Q57260
Q17017959,Q57278
Q16657634,Q57359
Q17276189,Q57338
Q18208210,Q57279
Q18536342,Q57343
Q19772737,Q57337
Q20794925,Q57261
Q20481199,Q57352
Q20965770,Q57298
Q21234364,Q57350
Q21888039,Q57281
Q24114117,Q57283
Q25713832,Q57333
Q27496075,Q57282
Q33176607,Q57280
Q42625830,Q57285
Q47541952,Q57336
Q54855620,Q57264
Q55737401,Q57354
Q57735705,Q57306
Q58487031,Q57288
Q59273465,Q57284
Q64576811,Q57286
Q65089422,Q57287
Q71052981,Q57262
Q93479414,Q57332
Q105756071,Q57290
Q107973738,Q57291
Q111950103,Q57289
Q48282,Q50763
Q61061,Q50764
Q39018,Q50754
Q38883,Q50755
Q43845,Q50757
Q42857,Q50758
Q45722,Q50761
Q49476,Q50760
Q48352,Q50762
Q51626,Q50765
Q40348,Q50783
Q42909,Q50784
Q14790,Q57292
Q29182,Q57295
Q202883,Q594
Q188094,Q604
Q474035,Q578
,
Q128124,Q616
Q325855,Q599
Q212980,Q611
Q189459,Q613
Q82723,Q636
Q584301,Q589
Q81710,Q641
Q855091,Q565
Q336221,Q622
Q372436,Q620
Q155647,Q645
Q432425,Q617
Q593644,Q607
Q822146,Q588
Q783906,Q593
Q211423,Q653
Q550594,Q623
Q829057,Q605
Q1126281,Q574
Q808266,Q610
Q491656,Q643
Q664702,Q638
Q943995,Q614
Q1030095,Q606
Q852389,Q630
Q883231,Q637
Q752129,Q656
,
Q1238570,Q626
Q1823479,Q570
Q1058617,Q658
Q1350189,Q633
Q1630100,Q650
Q2059704,Q631
Q1918150,Q648
Q2447386,Q595
Q2180295,Q625
Q2310145,Q612
Q2248623,Q628
Q2088191,Q659
Q2216340,Q654
Q3127709,Q566
Q2490358,Q632
Q2986228,Q627
Q3555589,Q624
Q3357567,Q651
Q3410028,Q647
Q5172469,Q577
Q5758653,Q608
Q6087307,Q615
Q6500773,Q609
Q7013282,Q587
,
Q8031587,Q583
Q7888586,Q601
Q12013238,Q596
Q11774202,Q642
,
Q11957145,Q634
Q12094958,Q657
Q13382603,Q564
Q13219637,Q590
Q13582652,Q602
Q13219447,Q655
Q15401884,Q629
Q16030727,Q592
Q15839237,Q644
Q17337766,Q571
Q17345122,Q597
Q17361147,Q663
Q19377727,Q603
Q21166956,Q567
Q21002343,Q618
Q21468747,Q646
Q21550346,Q660
Q28054786,Q573
Q28045801,Q661
Q51792960,Q619
Q60643157,Q568
Q64825422,Q572
Q77900897,Q635
Q84505214,Q639
Q99460544,Q591
Q99439671,Q621
Q100319837,Q640
Q108603213,Q579
Q108605532,Q580
Q108605670,Q584
Q108605603,Q585
Q108603247,Q586
Q108700045,Q581
Q108851711,Q582
Q110244331,Q569
Q109719044,Q652
Q110527695,Q649
Q112684029,Q576
Q16533,Q575
Q28837,Q598
Q7358,Q600
Q58968,Q662
Q1137295,Q72038
Q1658894,Q72033
Q6060450,Q72043
Q6337803,Q72034
Q6665249,Q72035
Q10694573,Q72044
Q11814411,Q72040
Q13141064,Q72041
Q15982858,Q72036
Q16004431,Q72039
Q17502714,Q72045
Q17611899,Q72037
Q28143257,Q72042
Q63973019,Q72046
Q1113838,Q57370
Q476246,Q97372
Q838476,Q97332
Q12826225,Q97323
Q216541,Q97295
Q273108,Q97291
Q215909,Q97307
Q189010,Q97314
Q207293,Q97313
Q335757,Q97300
Q477406,Q97289
Q465869,Q97299
Q680928,Q97283
Q781850,Q97303
Q382887,Q97358
Q1242063,Q97279
Q805253,Q97344
Q1201260,Q97319
Q1409420,Q97305
Q1639239,Q97284
Q1111648,Q97360
Q1320883,Q97354
Q1344174,Q97355
Q1502869,Q97330
Q1568338,Q97336
Q1371796,Q97370
Q1400381,Q97361
Q1678054,Q97349
Q1646408,Q97359
Q1934684,Q97343
Q2393361,Q97290
Q1907198,Q97368
Q2341443,Q97315
Q2556132,Q97310
Q2629392,Q97308
Q3068235,Q97333
Q3089940,Q97356
Q3104508,Q97362
Q3216038,Q97373
Q3610436,Q97345
Q4726509,Q97335
Q5137571,Q97357
Q5155473,Q97365
Q5793597,Q97339
Q6501749,Q97329
Q6491450,Q97352
Q7245795,Q97320
Q7723211,Q97296
Q7313543,Q97367
Q10986570,Q97286
Q11313148,Q97348
Q11650806,Q97321
Q13219244,Q97297
Q14906342,Q97281
Q16271428,Q97292
Q15980591,Q97371
Q16245517,Q97340
Q17305512,Q97353
Q18702210,Q97298
Q19350898,Q97301
Q19509237,Q97311
Q20857490,Q97322
Q20856740,Q97341
Q21244999,Q97316
Q21402631,Q97325
Q24037210,Q97282
Q26384038,Q97302
Q26481809,Q97366
Q27497422,Q97351
Q28255863,Q97346
Q28947943,Q97337
Q29448653,Q97285
Q41486906,Q97288
,
Q42182030,Q97304
Q45920048,Q97318
Q55982999,Q97369
Q63967171,Q97317
Q70744319,Q97287
Q88106009,Q97309
Q106675732,Q97338
Q97621558,Q97312
Q104774786,Q97347
Q106568011,Q97331
Q112120555,Q97334
Q116229137,Q97326
Q55187,Q97328
Q308194,Q97378
Q1227195,Q97419
Q18121791,Q97383
Q1237385,Q97451
Q1277252,Q97399
Q16063497,Q97401
Q160131,Q97386
Q185196,Q97380
Q369894,Q97374
Q326330,Q97382
Q501700,Q97381
Q618694,Q97376
Q305012,Q97436
Q725440,Q97398
Q736559,Q97426
Q897359,Q97400
Q855855,Q97438
Q1055894,Q97408
Q1495660,Q97395
Q1284709,Q97429
Q1505781,Q97403
,
,
Q1785507,Q97375
Q1416754,Q97437
Q1784753,Q97431
,
Q1919436,Q97417
Q1934482,Q97423
Q1937003,Q97427
Q1897112,Q97445
Q2269441,Q97412
Q2296367,Q97428
Q2588761,Q97418
